Unique Id,Prompt,Stability AI Caption,Dall-E Caption,Stability AI BLEU,Dall-E BLEU,Stability AI Rouge,Dall-E Rouge,User Preference
1f6c4a39e3f15dabe0d493f9db37f6e8,a cute capybara running across a field of flowers with a windmill in the background,a capy capy capy capy capy capy capy capy capy,a windmill and a dog in a field,6.213854539426459e-232,4.230706023283918e-155,"{'rouge1': Score(precision=0.1, recall=0.06666666666666667, fmeasure=0.08), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.06666666666666667, fmeasure=0.08)}","{'rouge1': Score(precision=0.75, recall=0.4, fmeasure=0.5217391304347827), 'rouge2': Score(precision=0.2857142857142857, recall=0.14285714285714285, fmeasure=0.19047619047619047), 'rougeL': Score(precision=0.375, recall=0.2, fmeasure=0.26086956521739135)}",stability_ai
3a3e2b40599728d20085c265ec25d727,a sea otter in a bathtub drinking a coke,a sea otter in a bathtub with a coke,a cartoon otter in a tub,0.6606328636027614,3.764142464340334e-78,"{'rouge1': Score(precision=0.8888888888888888, recall=0.8888888888888888, fmeasure=0.8888888888888888), 'rouge2': Score(precision=0.75, recall=0.75, fmeasure=0.75), 'rougeL': Score(precision=0.8888888888888888, recall=0.8888888888888888, fmeasure=0.8888888888888888)}","{'rouge1': Score(precision=0.6666666666666666, recall=0.4444444444444444, fmeasure=0.5333333333333333), 'rouge2': Score(precision=0.4, recall=0.25, fmeasure=0.3076923076923077), 'rougeL': Score(precision=0.6666666666666666, recall=0.4444444444444444, fmeasure=0.5333333333333333)}",stability_ai
0a3caeead43ca62ba52c0544b9c853e1,a shiba inu with a birthday hat in Tokyo,a dog wearing a birthday hat on a street,a shi shi shi shi shi shi shi shi shi shi shi shi shi shi shi shi shi shi,4.3351184712695835e-78,8.726094729337946e-232,"{'rouge1': Score(precision=0.4444444444444444, recall=0.4444444444444444, fmeasure=0.4444444444444444), 'rouge2': Score(precision=0.25, recall=0.25, fmeasure=0.25), 'rougeL': Score(precision=0.4444444444444444, recall=0.4444444444444444, fmeasure=0.4444444444444444)}","{'rouge1': Score(precision=0.05263157894736842, recall=0.1111111111111111, fmeasure=0.07142857142857142), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05263157894736842, recall=0.1111111111111111, fmeasure=0.07142857142857142)}",stability_ai
934527aa3964d989679238235231c877,a young girl doing jumping jacks at a playground,a little girl jumping in the air at a playground,a young girl jumping on a playground,4.38832006142665e-78,4.966097853332116e-78,"{'rouge1': Score(precision=0.6, recall=0.6666666666666666, fmeasure=0.631578947368421), 'rouge2': Score(precision=0.2222222222222222, recall=0.25, fmeasure=0.23529411764705882), 'rougeL': Score(precision=0.6, recall=0.6666666666666666, fmeasure=0.631578947368421)}","{'rouge1': Score(precision=0.8571428571428571, recall=0.6666666666666666, fmeasure=0.75), 'rouge2': Score(precision=0.5, recall=0.375, fmeasure=0.42857142857142855), 'rougeL': Score(precision=0.8571428571428571, recall=0.6666666666666666, fmeasure=0.75)}",stability_ai
271b93bcab3a823f6c96b2e5a6894ccc,a baby pig swimming in the mud,a pig in the water,a pig is sitting in the mud,6.686701276748014e-155,5.705336763108155e-78,"{'rouge1': Score(precision=0.8, recall=0.5714285714285714, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.25, recall=0.16666666666666666, fmeasure=0.2), 'rougeL': Score(precision=0.8, recall=0.5714285714285714, fmeasure=0.6666666666666666)}","{'rouge1': Score(precision=0.7142857142857143, recall=0.7142857142857143, fmeasure=0.7142857142857143), 'rouge2': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rougeL': Score(precision=0.7142857142857143, recall=0.7142857142857143, fmeasure=0.7142857142857143)}",dall-e
9cd8b961c683f39b43fb23922ef7f498,a mice sleeping in a haystack,a mouse in a nest,two baby mice in a nest,7.600394483915427e-155,8.38826642100846e-155,"{'rouge1': Score(precision=0.6, recall=0.5, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.25, recall=0.2, fmeasure=0.22222222222222224), 'rougeL': Score(precision=0.6, recall=0.5, fmeasure=0.5454545454545454)}","{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.2, recall=0.2, fmeasure=0.20000000000000004), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}",stability_ai
2eecbe3d52d40873f0238d063695e118,a goldendoodle wearing superman cape infront of hunted house,a dog dressed as a superhero sitting on a sidewalk,a dog dressed as a superhero,1.0244914152188953e-231,7.060301868108111e-232,"{'rouge1': Score(precision=0.1, recall=0.1111111111111111, fmeasure=0.10526315789473685), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.1111111111111111, fmeasure=0.10526315789473685)}","{'rouge1': Score(precision=0.16666666666666666, recall=0.1111111111111111, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.1111111111111111, fmeasure=0.13333333333333333)}",stability_ai
68f510bc7714147ebac46e9977183b7c,young boy dressed as Captain Jack Sparrow trick or treating walking along the sidewalk,a little boy dressed as a pirate,a little boy dressed as a pirate walking down the street,1.8472454897794203e-78,2.9477005304904675e-78,"{'rouge1': Score(precision=0.42857142857142855, recall=0.21428571428571427, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.3333333333333333, recall=0.15384615384615385, fmeasure=0.21052631578947367), 'rougeL': Score(precision=0.42857142857142855, recall=0.21428571428571427, fmeasure=0.2857142857142857)}","{'rouge1': Score(precision=0.45454545454545453, recall=0.35714285714285715, fmeasure=0.4), 'rouge2': Score(precision=0.2, recall=0.15384615384615385, fmeasure=0.17391304347826086), 'rougeL': Score(precision=0.45454545454545453, recall=0.35714285714285715, fmeasure=0.4)}",stability_ai
ffe8bfb1c38d07dfa9550490a1422878,alaskan malamute swimming,a dog swimming in a lake with its mouth out,a dog swimming in the water,1.0244914152188953e-231,1.1640469867513693e-231,"{'rouge1': Score(precision=0.1, recall=0.3333333333333333, fmeasure=0.15384615384615383), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.3333333333333333, fmeasure=0.15384615384615383)}","{'rouge1': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222)}",
12b38443e688de5baebec3543e2cb7dc,northwestern university,a large building with a tower and a walkway,a large building with purple flowers in front,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",
